code,term
274651000000103,Heart failure monitoring first letter 
274661000000100,Heart failure monitoring second letter 
274671000000107,Heart failure monitoring third letter 
274931000000102,Exception reporting: heart failure quality indicators 
274941000000106,Excepted from heart failure quality indicators: Patient unsuitable 
274951000000109,Excepted from heart failure quality indicators: Informed dissent 
27511000175107,Heart failure management program
307481000000103,Heart failure education
307491000000101,Heart failure education 
307501000000107,Heart failure education 
309634009,History of heart failure in last year
314206003,Refractory heart failure
319410000,Vasodilators in heart failure [no drugs here]
325431000000103,Congestive heart failure due to valvular disease
33644002,Postvalvulotomy syndrome
338101000000107,Congestive heart failure due to valvular disease
352161000000109,"Congestive heart failure, hypertension, age, diabetes, stroke 2 stroke risk score"
352171000000102,"Congestive heart failure, hypertension, age, diabetes, stroke 2, stroke risk score "
352181000000100,"Congestive heart failure, hypertension, age, diabetes, stroke 2, stroke risk score "
359617009,Acute right-sided heart failure
359620001,Acute right heart failure
364006,Acute left-sided heart failure
366743000,New York Heart Association classification of heart failure symptoms
366746008,New York Heart Association classification of heart failure symptoms
366784002,Congestive heart failure monitoring
366810007,Referral to heart failure clinic
366862009,Congestive heart failure monitoring
366890008,Referral to heart failure clinic
367363000,Right ventricular failure
374231000000104,High risk of heart failure screening invitation
374241000000108,Heart failure screening invitation 
374251000000106,Heart failure screening invitation 
389838008,Heart failure annual review
389898006,Heart failure screen
389937002,Heart failure follow-up
390570006,Heart failure annual review
390630006,Heart failure screen
390671000,Heart failure follow-up
390884006,Heart failure follow-up
390885007,Heart failure annual review
392748002,Heart failure confirmed
393703008,Heart failure confirmed
394887005,Suspected heart failure
394927007,Heart failure excluded
395105005,Heart failure confirmed
403298007,Red half-moon nail in congestive heart failure
407596008,Echocardiogram shows left ventricular systolic dysfunction
407605008,New York Heart Association classification - class I
407606009,New York Heart Association classification - class II
407607000,New York Heart Association classification - class III
407608005,New York Heart Association classification - class IV
410431009,Cardiorespiratory failure
416683003,Emergency hospital admission for heart failure
416717003,Seen in heart failure clinic
417146007,Referral to heart failure nurse
417359009,Seen by community heart failure nurse
417996009,Systolic heart failure
418304008,Diastolic heart failure
420300004,New York Heart Association Classification - Class I
420816009,New York Heart Association Classification
420913000,New York Heart Association Classification - Class III
421518007,New York Heart Classification finding
421704003,New York Heart Association Classification - Class II
422293003,New York Heart Association Classification - Class IV
42343007,Congestive heart failure
423475008,Heart failure education
424404003,Decompensated chronic heart failure
426012001,Right heart failure due to pulmonary hypertension
426263006,Congestive heart failure due to left ventricular systolic dysfunction
426611007,Congestive heart failure due to valvular disease
430396006,Chronic systolic dysfunction of left ventricle
43736008,Rheumatic left ventricular failure
438367009,"Congestive heart failure, hypertension, age 75 years or older, diabetes, and previous stroke or transient ischemic attack risk score"
440589006,Knowledge level about heart failure management
44088000,Low cardiac output syndrome
441481004,Chronic systolic heart failure
441530006,Chronic diastolic heart failure
44313006,Right heart failure secondary to left heart failure
443253003,Acute on chronic systolic heart failure
443254009,Acute systolic heart failure
443343001,Acute diastolic heart failure
443344007,Acute on chronic diastolic heart failure
445236007,Cardiorenal syndrome
446221000,Heart failure with normal ejection fraction
45650007,Kyphoscoliotic heart disease
46113002,Hypertensive heart failure
471880001,Heart failure due to end stage congenital heart disease
473226007,Heart failure medication review
48447003,Chronic heart failure
49584005,Acute cor pulmonale
5053004,Cardiac insufficiency due to prosthesis
50781000119109,Nutrition therapy for congestive heart failure
510701000000100,Heart failure self management plan
5148006,Hypertensive heart disease with congestive heart failure
521691000000100,Heart failure resolved
521701000000100,Heart failure resolved 
5375005,Chronic left-sided congestive heart failure
55565007,Heart failure following obstetric procedure
56675007,Acute heart failure
603891000000100,Post cardiac operation heart failure NOS
60856006,Cardiac insufficiency following cardiac surgery
609507007,Induced termination of pregnancy complicated by cardiac failure
609555007,Diastolic heart failure stage A
609556008,Systolic heart failure stage A
61783007,Acute right-sided heart failure
62377009,Postpartum cardiomyopathy
