code,term
17897811000001108,Estradiol valerate 2mg / Norethisterone 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17956511000001108,FemSeven Sequi Phase 2 patches (Waymade Healthcare Plc) (AMP)
18030711000001101,Nexplanon 68mg implant (Organon Pharma (UK) Ltd) (AMP)
18057011000001101,Evorel Conti patches (Lexon (UK) Ltd) (AMP)
18062011000001105,Levonelle One Step 1.5mg tablets (Lexon (UK) Ltd) (AMP)
18062611000001103,Marvelon tablets (Lexon (UK) Ltd) (AMP)
18155211000001105,Climesse tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18158511000001100,Mirena 20micrograms/24hours intrauterine device (Mawdsley-Brooks & Company Ltd) (AMP)
18214511000001100,Femodene tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18221211000001106,Microgynon 30 tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18249611000001106,Depo-Provera 150mg/1ml suspension for injection pre-filled syringes (Necessity Supplies Ltd) (AMP)
18271511000001105,Kliofem tablets (Necessity Supplies Ltd) (AMP)
18358111000001100,Elevin 150microgram/30microgram tablets (Genesis Pharmaceuticals Ltd) (AMP)
18483411000001100,Elleste Duet Conti tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18572611000001106,Depo-Provera 150mg/1ml suspension for injection pre-filled syringes (DE Pharmaceuticals) (AMP)
18577911000001103,Evorel Conti patches (DE Pharmaceuticals) (AMP)
18588811000001102,Levonelle One Step 1.5mg tablets (DE Pharmaceuticals) (AMP)
18591611000001105,Marvelon tablets (DE Pharmaceuticals) (AMP)
193611000001107,Micronor 350microgram tablets (Janssen-Cilag Ltd) (AMP)
19731511000001104,Cerazette 75microgram tablets (Mawdsley-Brooks & Company Ltd) (AMP)
19736611000001107,Cilest 35microgram/250microgram tablets (Mawdsley-Brooks & Company Ltd) (AMP)
19964411000001100,FemSeven Conti patches (Lexon (UK) Ltd) (AMP)
20292511000001107,Esmya 5mg tablets (Gedeon Richter (UK) Ltd) (AMP)
20293811000001102,Ulipristal 5mg tablets (VMP)
20637911000001107,Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets (A A H Pharmaceuticals Ltd) (AMP)
208311000001105,Mercilon 150microgram/20microgram tablets (Organon Pharma (UK) Ltd) (AMP)
2111000001103,Orthoforms 5% contraceptive pessaries (Janssen-Cilag Ltd) (AMP)
21520611000001101,Nacrez 75microgram tablets (Teva UK Ltd) (AMP)
