code,term
320371000000101,Emergency admission - ischaemic heart disease 
32574007,"Past myocardial infarction diagnosed on electrocardiogram AND/OR other special investigation, but currently presenting no symptoms"
32598000,Acute ischemic heart disease
35401000087106,Old infarct of myocardium of apex of heart
35411000087108,Old infarct of myocardium of anterolateral region
35421000087100,Old infarct of myocardium of inferolateral region
35431000087103,Old infarct of high lateral wall of myocardium
35441000087109,Old infarct of myocardium of posterolateral region
35451000087107,Old infarct of myocardium of ventricular septum
35461000087105,Ischemia of anterior myocardium
35471000087101,Ischemia of apical anterior segment of left cardiac ventricle
35481000087104,Ischemia of myocardium of ventricular septum
35491000087102,Ischemia of lateral myocardium
35501000087105,Ischemia of myocardium of anterolateral region
35511000087107,Ischemia of myocardium of anteroseptal region
35521000087104,Ischemia of myocardium of apex of heart
35541000087108,Ischemia of myocardium of inferior surface of left ventricle
35551000087106,Ischemia of myocardium of inferolateral region
35561000087109,Ischemia of myocardium of inferolateral region of myocardium with extension to posterior myocardium
35571000087100,Ischemia of myocardium of posterolateral region
35581000087103,Ischemia of posterior myocardium
35928006,Nocturnal angina
371806006,Progressive angina
371807002,Atypical angina
371808007,Recurrent angina status post percutaneous transluminal coronary angioplasty
371809004,Recurrent angina following placement of coronary artery stent
371810009,Recurrent angina status post coronary artery bypass graft
371811008,Recurrent angina status post rotational atherectomy
371812001,Recurrent angina status post directional coronary atherectomy
394659003,Acute coronary syndrome
394710008,First myocardial infarction
401303003,Acute ST segment elevation myocardial infarction
401314000,Acute non-ST segment elevation myocardial infarction
41334000,"Angina, class II"
413439005,Acute ischemic heart disease
413444003,Acute myocardial ischemia
413838009,Chronic ischemic heart disease
413844008,Chronic myocardial ischemia
414541000000105,[X]Other forms of chronic ischaemic heart disease
414545008,Ischemic heart disease
414795007,Myocardial ischemia
41702007,Coronary atherosclerosis
418044006,Myocardial infarction in recovery phase
42531007,Microinfarct of heart
426856002,Ischemic congestive cardiomyopathy
428196007,Mixed myocardial ischemia and infarction
429559004,Typical angina
44811000087108,Acute ST segment elevation myocardial infarction due to occlusion of distal portion of circumflex branch of left coronary artery
44821000087100,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of circumflex branch of left coronary artery
44831000087103,Acute ST segment elevation myocardial infarction due to occlusion of obtuse marginal branch of circumflex branch of left coronary artery
44841000087109,Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of circumflex branch of left coronary artery
44851000087107,Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of circumflex branch of left coronary artery
4557003,Preinfarction syndrome
46109009,Subendocardial ischemia
465021000000107,[X]Other forms of acute ischaemic heart disease
472100003,Ischemic dilated cardiomyopathy due to coronary artery disease
52035003,Acute anteroapical myocardial infarction
54329005,Acute myocardial infarction of anterior wall
57054005,Acute myocardial infarction
58612006,Acute myocardial infarction of lateral wall
59021001,Angina decubitus
59063002,Acute myocardial infarction of apical-lateral wall
61490001,"Angina, class I"
621601000000104,Other chronic ischemic heart disease
621611000000102,Other specified chronic ischemic heart disease
62695002,Acute anteroseptal myocardial infarction
643861000000100,Other acute and subacute ischemic heart disease
643891000000106,Other acute and subacute ischemic heart disease NOS
64627002,Acute myocardial infarction of high lateral wall
646451000000105,Other specified ischemic heart disease
653031000000100,Other specified chronic ischemic heart disease NOS
653041000000109,Other chronic ischemic heart disease NOS
65547006,Acute myocardial infarction of inferolateral wall
662031000000103,Ischemic heart disease NOS
671571000000105,Acute/subacute ischemic heart disease NOS
671581000000107,Chronic ischemic heart disease NOS
697976003,Microvascular ischemia of myocardium
699245006,Emergency hospital admission for ischemic heart disease
70211005,Acute myocardial infarction of anterolateral wall
703164000,Acute ST segment elevation myocardial infarction of anterior wall
703165004,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle
703209002,Subsequent ST segment elevation myocardial infarction of inferior wall
703210007,Subsequent ST segment elevation myocardial infarction of anterior wall
703211006,Subsequent ST segment elevation myocardial infarction
703212004,Acute myocardial infarction during procedure
703213009,Acute ST segment elevation myocardial infarction of inferior wall
703214003,Silent coronary vasospastic disease
703251009,Acute myocardial infarction of inferior wall involving right ventricle
703252002,Acute myocardial infarction of anterior wall involving right ventricle
703253007,Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle
703360004,Subsequent non-ST segment elevation myocardial infarction
70422006,Acute subendocardial infarction
70998009,Acute myocardial infarction of basal inferior segment of left ventricle
712866001,Resting ischemia co-occurrent and due to ischemic heart disease
713405002,Subacute ischemic heart disease
726499301000119105,Myocardial infarction due to atherothrombotic coronary artery disease
73795002,Acute myocardial infarction of inferior wall
76593002,Acute myocardial infarction of inferoposterior wall
79009004,Acute myocardial infarction of septum
791000119109,Angina due to type 2 diabetes mellitus
82522008,Ischemic contracture of left ventricle syndrome
836293000,Acute myocardial infarction of right ventricle
836294006,Acute myocardial infarction of apex of heart
836295007,Acute myocardial infarction of inferolateral wall with posterior extension
840309000,Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of anterior descending branch of left coronary artery
840312002,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of anterior descending branch of left coronary artery
840316004,Acute ST segment elevation myocardial infarction due to occlusion of distal portion of anterior descending branch of left coronary artery
840609007,Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery
840680009,Acute ST segment elevation myocardial infarction due to occlusion of septal branch of anterior descending branch of left coronary artery
841141000000104,Subacute ischaemic heart disease
