code,term
1153447003,Product containing precisely amlodipine (as amlodipine besilate) 10 milligram and olmesartan medoxomil 20 milligram/1 each conventional release oral tablet
1153514005,Product containing precisely bisoprolol fumarate 5 milligram and hydrochlorothiazide 6.25 milligram/1 each conventional release oral tablet
1153515006,Product containing precisely bisoprolol fumarate 2.5 milligram and hydrochlorothiazide 6.25 milligram/1 each conventional release oral tablet
1156049002,Product containing precisely perindopril arginine 10 milligram/1 each conventional release oral tablet
1156059001,Product containing precisely enalapril maleate 10 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
1156060006,Product containing precisely enalapril maleate 5 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
1156205007,Product containing precisely eprosartan (as eprosartan mesilate) 600 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
1156206008,Product containing precisely eprosartan (as eprosartan mesilate) 600 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
1156288006,Product containing precisely fosinopril sodium 10 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
1156289003,Product containing precisely fosinopril sodium 20 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
1157288001,Product containing precisely lercanidipine hydrochloride 20 milligram/1 each conventional release oral tablet
116087001,Cilostazol
1162426008,Product containing precisely losartan potassium 12.5 milligram/1 each conventional release oral tablet
1162681006,Product containing precisely sacubitril 24 milligram and valsartan 26 milligram/1 each conventional release oral tablet
1162682004,Product containing precisely sacubitril 49 milligram and valsartan 51 milligram/1 each conventional release oral tablet
1162718004,Product containing precisely sacubitril 97 milligram and valsartan 103 milligram/1 each conventional release oral tablet
1172734000,Product containing precisely indapamide 2.5 milligram and perindopril erbumine 8 milligram/1 each conventional release oral tablet
1172874001,Product containing precisely diltiazem hydrochloride 20 milligram/1 gram conventional release rectal gel
1172875000,Product containing diltiazem in rectal dose form
1172876004,Product containing only diltiazem in rectal dose form
1177123004,Cilnidipine
1179035008,Product containing cilnidipine
1179036009,Product containing only cilnidipine
1179037000,Product containing cilnidipine in oral dose form
1179038005,Product containing only cilnidipine in oral dose form
1179039002,Product containing precisely cilnidipine 20 milligram/1 each conventional release oral tablet
1179430009,Product containing precisely valsartan 3 milligram/1 milliliter conventional release oral solution
1179517005,Product containing lidocaine and nifedipine
1179518000,Product containing only lidocaine and nifedipine
1179519008,Product containing lidocaine and nifedipine in rectal dose form
1179520002,Product containing only lidocaine and nifedipine in rectal dose form
1179521003,Product containing precisely lidocaine 15 milligram/1 gram and nifedipine 3 milligram/1 gram conventional release rectal cream
1186955003,Product containing amlodipine and indapamide
1186956002,Product containing only amlodipine and indapamide
1186957006,Product containing amlodipine and indapamide in oral dose form
1186958001,Product containing only amlodipine and indapamide in oral dose form
1186959009,Product containing precisely amlodipine (as amlodipine besilate) 2.5 milligram and indapamide 1.5 milligram/1 each conventional release and prolonged-release oral tablet
1187451006,Product containing precisely metoprolol tartrate (as metoprolol succinate) 12.5 milligram/1 each prolonged-release oral tablet
1187452004,Product containing precisely cilnidipine 5 milligram/1 each conventional release oral tablet
1187453009,Product containing precisely cilnidipine 10 milligram/1 each conventional release oral tablet
1187501003,Product containing chlortalidone and telmisartan
1187502005,Product containing only chlortalidone and telmisartan
1187503000,Product containing chlortalidone and telmisartan in oral dose form
1187504006,Product containing only chlortalidone and telmisartan in oral dose form
1187505007,Product containing precisely chlortalidone 12.5 milligram and telmisartan 40 milligram/1 each conventional release oral tablet
1187574007,Product containing precisely chlortalidone 6.25 milligram and telmisartan 40 milligram/1 each conventional release oral tablet
1187575008,Product containing precisely spironolactone 50 milligram and torasemide 10 milligram/1 each conventional release oral tablet
1187576009,Product containing spironolactone and torasemide
1187577000,Product containing only spironolactone and torasemide
1187578005,Product containing spironolactone and torasemide in oral dose form
1187579002,Product containing only spironolactone and torasemide in oral dose form
1187580004,Product containing precisely chlortalidone 12.5 milligram and olmesartan medoxomil 40 milligram/1 each conventional release oral tablet
1187588006,Product containing precisely spironolactone 50 milligram and torasemide 20 milligram/1 each conventional release oral tablet
1187592004,Product containing precisely benzthiazide 25 milligram and triamterene 50 milligram/1 each conventional release oral tablet
1193663008,Amlodipine mesilate
1193664002,Product containing precisely amlodipine (as amlodipine maleate) 5 milligram/1 each conventional release oral tablet
1193665001,Product containing precisely amlodipine (as amlodipine mesilate) 5 milligram/1 each conventional release oral tablet
1193775008,Product containing precisely hydrochlorothiazide 25 milligram and telmisartan 80 milligram/1 each conventional release oral tablet
1193819002,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and lisinopril 10 milligram/1 each conventional release oral tablet
1193820008,Product containing amlodipine and lisinopril
